SET,SETArmPosition,mean.slope,sd.slope,unique.pins,n.readings,first.Date,last.Date,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
1,B,-3.910101176932012e-4,2.2855236203904507e-4,9,174,2004.77868852459,2018.7287671232878,-3.910101176932012e-4,-5.132435922404545,8.934047004181105e-4,8,-5.666910150174404e-4,-2.1532922036896204e-4,One Sample t-test,two.sided
1,D,1.332069168890502e-4,2.7476714810766565e-4,9,178,2004.77868852459,2018.7287671232878,1.332069168890502e-4,1.454397854399107,0.18391755319930952,8,-7.799780969579402e-5,3.4441164347389443e-4,One Sample t-test,two.sided
1,F,7.361747962160981e-4,3.050926861731263e-4,9,180,2004.77868852459,2018.7287671232878,7.361747962160981e-4,7.238863757602686,8.901265732705683e-5,8,5.016597975708392e-4,9.706897948613569e-4,One Sample t-test,two.sided
1,H,-1.8189844878670533e-4,1.6972004504392732e-4,9,179,2004.77868852459,2018.7287671232878,-1.8189844878670533e-4,-3.215267508436484,0.012326431583074364,8,-3.1235682401948325e-4,-5.1440073553927416e-5,One Sample t-test,two.sided
2,A,0.002043379133400649,2.119359367939753e-4,9,177,2004.77868852459,2018.7287671232878,0.002043379133400649,28.92448299677041,2.209087284554964e-9,8,0.0018804707511855573,0.002206287515615741,One Sample t-test,two.sided
2,C,0.0022361141419645677,2.3610351414162916e-4,9,179,2004.77868852459,2018.7287671232878,0.0022361141419645677,28.412717406101944,2.54505565440062e-9,8,0.0020546289153156234,0.0024175993686135116,One Sample t-test,two.sided
2,E,0.002688591444102139,1.475140848459503e-4,9,180,2004.77868852459,2018.7287671232878,0.002688591444102139,54.67799458424289,1.388478890965975e-11,8,0.002575202080883599,0.002801980807320679,One Sample t-test,two.sided
2,G,0.0023889127355639687,2.6763743527184e-4,9,180,2004.77868852459,2018.7287671232878,0.0023889127355639687,26.777786894470246,4.070730071706958e-9,8,0.002183188391406535,0.002594637079721402,One Sample t-test,two.sided
3,A,0.0014601477303720165,2.1964966318747904e-4,9,189,2004.77868852459,2018.7287671232878,0.0014601477303720165,19.94286322841834,4.166546530919678e-8,8,0.0012913100531698402,0.0016289854075741928,One Sample t-test,two.sided
3,C,0.0021604148917169197,1.89405964131447e-4,9,188,2004.77868852459,2018.7287671232878,0.0021604148917169197,34.21879931221596,5.813715026960515e-10,8,0.00201482457954377,0.002306005203890069,One Sample t-test,two.sided
3,E,0.002128441518301832,1.9320393117796771e-4,9,187,2004.77868852459,2018.7287671232878,0.002128441518301832,33.04966165012306,7.664290093168891e-10,8,0.0019799318302238,0.002276951206379864,One Sample t-test,two.sided
3,G,0.0018050296811249905,3.4253331477471325e-4,9,189,2004.77868852459,2018.7287671232878,0.0018050296811249905,15.80894123229011,2.562836152783062e-7,8,0.0015417352676864308,0.00206832409456355,One Sample t-test,two.sided
4,B,-0.001855256599703014,6.203493208919303e-4,9,173,2004.7814207650274,2018.7287671232878,-0.001855256599703014,-8.971993055632995,1.896059234185554e-5,8,-0.00233209929945231,-0.0013784138999537185,One Sample t-test,two.sided
4,D,-0.0018581032988412422,9.394436407756607e-4,9,176,2004.7814207650274,2018.7287671232878,-0.0018581032988412422,-5.933628857098063,3.483162375110609e-4,8,-0.002580223605647886,-0.0011359829920345988,One Sample t-test,two.sided
4,F,-0.003230429502757392,5.896212845298057e-4,9,173,2004.7814207650274,2018.7287671232878,-0.003230429502757392,-16.436463137521415,1.892842225000259e-7,8,-0.0036836525428674332,-0.0027772064626473505,One Sample t-test,two.sided
4,H,-0.002319273903077584,4.6734087566242306e-4,9,178,2004.7814207650274,2018.7287671232878,-0.002319273903077584,-14.88810859818441,4.0836771724971296e-7,8,-0.0026785039003534117,-0.001960043905801756,One Sample t-test,two.sided
5,A,5.664453997809278e-4,2.375475964176853e-4,9,117,2004.7814207650274,2018.7945205479452,5.664453997809278e-4,7.153666149308464,9.674300090681215e-5,8,3.838501532319303e-4,7.490406463299253e-4,One Sample t-test,two.sided
5,C,7.356800481954701e-4,4.6950022997967e-4,9,117,2004.7814207650274,2018.7945205479452,7.356800481954701e-4,4.700828676232977,0.001539810949629644,8,3.747902242579947e-4,0.0010965698721329454,One Sample t-test,two.sided
5,E,0.0016283410340845275,0.0011219715907861275,9,117,2004.7814207650274,2018.7945205479452,0.0016283410340845275,4.3539632753364215,0.0024322879662677633,8,7.659173247730587e-4,0.0024907647433959966,One Sample t-test,two.sided
5,G,0.0011957322753841505,4.22249156148659e-4,9,117,2004.7814207650274,2018.7945205479452,0.0011957322753841505,8.495450550739589,2.826364402321056e-5,8,8.711628419957249e-4,0.0015203017087725764,One Sample t-test,two.sided
6,A,-0.007942406381494505,7.926257191733373e-4,9,115,2004.7841530054645,2018.7945205479452,-0.007942406381494505,-30.061122883236646,1.627029242798952e-9,8,-0.008551672443522135,-0.007333140319466874,One Sample t-test,two.sided
6,C,-0.005146702117239204,4.2248163797054623e-4,9,112,2004.7841530054645,2018.7945205479452,-0.005146702117239204,-36.54621873245539,3.4446193820742964e-10,8,-0.005471450251975174,-0.004821953982503234,One Sample t-test,two.sided
6,E,-0.004100644118226381,3.451320922660487e-4,9,110,2004.7841530054645,2018.7945205479452,-0.004100644118226381,-35.64412765532122,4.20242323305775e-10,8,-0.004365936128878772,-0.003835352107573989,One Sample t-test,two.sided
6,G,-0.004923497042104523,3.378606845478403e-4,9,110,2004.7841530054645,2018.7945205479452,-0.004923497042104523,-43.717697269455755,8.268542076973528e-11,8,-0.005183199754001266,-0.004663794330207779,One Sample t-test,two.sided
7,A,0.002617677027390431,3.014867081663454e-4,9,115,2004.7814207650274,2018.7945205479452,0.002617677027390431,26.047685916018494,5.0668271687859065e-9,8,0.002385933828810203,0.002849420225970659,One Sample t-test,two.sided
7,C,0.0029144694700594356,2.3144436236680497e-4,9,116,2004.7814207650274,2018.7945205479452,0.0029144694700594356,37.7775821401141,2.6460905162554617e-10,8,0.002736565584496921,0.0030923733556219505,One Sample t-test,two.sided
7,E,0.0013739724188444515,2.0816851619965708e-4,9,117,2004.7814207650274,2018.7945205479452,0.0013739724188444515,19.80086773823171,4.407158957626208e-8,8,0.0012139599324525433,0.0015339849052363596,One Sample t-test,two.sided
7,G,0.0026318134077415382,2.689746198695091e-4,9,117,2004.7814207650274,2018.7945205479452,0.0026318134077415382,29.3538484302163,1.9653844284959894e-9,8,0.0024250612125135194,0.002838565602969557,One Sample t-test,two.sided
8,A,0.0027577621841585647,7.272550169773892e-4,9,116,2004.7814207650274,2018.7945205479452,0.0027577621841585647,11.37604603521479,3.2170766158604174e-6,8,0.0021987444919926193,0.0033167798763245097,One Sample t-test,two.sided
8,C,0.003882355416501445,8.71660226349101e-4,9,117,2004.7814207650274,2018.7945205479452,0.003882355416501445,13.36193381025013,9.412557109861071e-7,8,0.003212338054350103,0.004552372778652787,One Sample t-test,two.sided
8,E,2.242179853226249e-4,7.873125528171126e-4,9,114,2004.7814207650274,2018.7945205479452,2.242179853226249e-4,0.8543671170503077,0.4177500024422117,8,-3.809640155088453e-4,8.293999861540951e-4,One Sample t-test,two.sided
8,G,-0.0015297391435808785,0.0012514453623604874,9,108,2004.7814207650274,2018.7945205479452,-0.0015297391435808785,-3.6671336750063244,0.006335631225713832,8,-0.0024916852037759982,-5.677930833857584e-4,One Sample t-test,two.sided
9,B,0.007207581368666381,3.4560334970057995e-4,9,133,2004.8060109289618,2018.7917808219179,0.007207581368666381,62.56520408361903,4.7354691200285424e-12,8,0.006941927117483064,0.007473235619849697,One Sample t-test,two.sided
9,D,0.00706347247999807,1.77004078219297e-4,9,134,2004.8060109289618,2018.7917808219179,0.00706347247999807,119.71711416581377,2.6490835019416622e-14,8,0.00692741510122417,0.00719952985877197,One Sample t-test,two.sided
9,F,0.009561878219779519,8.220131168567037e-4,9,135,2004.8060109289618,2018.7917808219179,0.009561878219779519,34.89680890863344,4.973870849732777e-10,8,0.008930023004224977,0.01019373343533406,One Sample t-test,two.sided
9,H,0.008262714747139407,6.461326661657473e-4,9,134,2004.8060109289618,2018.7917808219179,0.008262714747139407,38.363861695021484,2.3407973517969397e-10,8,0.00776605321378317,0.008759376280495642,One Sample t-test,two.sided
10,A,0.013189386773890425,0.0012884128663327996,9,143,2004.8060109289618,2018.7917808219179,0.013189386773890425,30.71077707745488,1.3730457170942077e-9,8,0.012199024974685863,0.014179748573094989,One Sample t-test,two.sided
10,C,0.008727345830939365,2.2002705107689616e-4,9,144,2004.8060109289618,2018.7917808219179,0.008727345830939365,118.99462981789391,2.780456093456912e-14,8,0.008558218067726,0.008896473594152732,One Sample t-test,two.sided
10,E,0.006553769563937168,5.483381327183479e-4,9,144,2004.8060109289618,2018.7917808219179,0.006553769563937168,35.856176177903116,4.0087346742783006e-10,8,0.006132279563424287,0.006975259564450049,One Sample t-test,two.sided
10,G,0.008237250123614336,4.2693538702475396e-4,9,144,2004.8060109289618,2018.7917808219179,0.008237250123614336,57.881710258442936,8.813699694788902e-12,8,0.007909078534299644,0.008565421712929027,One Sample t-test,two.sided
11,B,-2.6093409407602507e-4,4.3732166018874385e-4,9,89,2006.682191780822,2019.7753424657535,-2.6093409407602507e-4,-1.7899920207250315,0.11124088059095047,8,-5.970892796792232e-4,7.522109152717312e-5,One Sample t-test,two.sided
11,D,-0.0012111727631837466,7.004741613504888e-4,9,88,2006.682191780822,2019.7753424657535,-0.0012111727631837466,-5.187226724460397,8.353374383821585e-4,8,-0.0017496048674097125,-6.727406589577807e-4,One Sample t-test,two.sided
11,F,-0.0014590452596541063,4.066736291882734e-4,9,90,2006.682191780822,2019.7753424657535,-0.0014590452596541063,-10.763264359430305,4.888838151560571e-6,8,-0.0017716422831829876,-0.001146448236125225,One Sample t-test,two.sided
11,H,-0.0010948225472725323,7.254148106053658e-4,9,89,2006.682191780822,2019.7753424657535,-0.0010948225472725323,-4.527709654944426,0.0019301861304611993,8,-0.0016524257316039724,-5.37219362941092e-4,One Sample t-test,two.sided
12,B,-8.248942878337161e-4,2.789979468923461e-4,9,72,2007.805479452055,2018.7917808219179,-8.248942878337161e-4,-8.869896323846524,2.062247114975732e-5,8,-0.001039351094249457,-6.104374814179754e-4,One Sample t-test,two.sided
12,C,-0.0010106210006156303,3.318093721644475e-4,9,135,2004.8060109289618,2018.7917808219179,-0.0010106210006156303,-9.137363969165628,1.6576076288697173e-5,8,-0.001265672262052535,-7.555697391787257e-4,One Sample t-test,two.sided
12,D,-3.064004709825151e-4,1.6510062390987038e-4,9,153,2004.8060109289618,2018.7917808219179,-3.064004709825151e-4,-5.567522345944278,5.299799820601156e-4,8,-4.333080448028314e-4,-1.7949289716219884e-4,One Sample t-test,two.sided
12,F,0.0013883074971311673,2.55909335029338e-4,9,153,2004.8060109289618,2018.7917808219179,0.0013883074971311673,16.274992434004123,2.0441753460611886e-7,8,0.0011915981688595,0.0015850168254028345,One Sample t-test,two.sided
12,H,-5.97767617703997e-4,4.984061367338763e-4,9,152,2004.8060109289618,2018.7917808219179,-5.97767617703997e-4,-3.598075386598869,0.007001843296706037,8,-9.808764884771477e-4,-2.1465874693084633e-4,One Sample t-test,two.sided
13,B,-0.00462621742248167,0.001387885683493197,9,112,2005.2575342465752,2018.7917808219179,-0.00462621742248167,-9.999852604944776,8.48911566489145e-6,8,-0.005693040797590327,-0.0035593940473730118,One Sample t-test,two.sided
13,D,-0.007123340588769895,5.222663515855036e-4,9,125,2004.8524590163934,2018.7917808219179,-0.007123340588769895,-40.91786059246258,1.401075853793336e-10,8,-0.007524790044247951,-0.00672189113329184,One Sample t-test,two.sided
13,F,-0.005052116671770875,0.0011984282965142074,9,116,2005.2575342465752,2018.7917808219179,-0.005052116671770875,-12.646855935725936,1.4355496493546826e-6,8,-0.00597331020760669,-0.004130923135935059,One Sample t-test,two.sided
13,H,-0.003938894763836282,4.8696754614039765e-4,9,125,2004.8524590163934,2018.7917808219179,-0.003938894763836282,-24.265855877184013,8.874670116266134e-9,8,-0.004313211155539609,-0.003564578372132954,One Sample t-test,two.sided
14,A,-0.02107053507341926,6.123798772276454e-4,9,138,2004.8524590163934,2018.7917808219179,-0.02107053507341926,-103.22286471336741,8.666371668361957e-14,8,-0.021541251916486853,-0.020599818230351674,One Sample t-test,two.sided
14,C,-0.021408122405854938,0.0011498915298170116,9,135,2004.8524590163934,2018.7917808219179,-0.021408122405854938,-55.85254395932909,1.1718442438127995e-11,8,-0.022292007280119697,-0.02052423753159018,One Sample t-test,two.sided
14,E,-0.018638827090147303,3.763460206264885e-4,9,143,2004.8524590163934,2018.7917808219179,-0.018638827090147303,-148.57731503938834,4.7101146955770394e-15,8,-0.01892811225009141,-0.018349541930203196,One Sample t-test,two.sided
14,G,-0.019270077793982706,3.045500075277e-4,9,142,2004.8524590163934,2018.7917808219179,-0.019270077793982706,-189.82180907248886,6.638990879981271e-16,8,-0.019504175652894487,-0.019035979935070925,One Sample t-test,two.sided
16,A,-4.920604995746209e-4,2.042612868782981e-4,9,135,2004.8524590163934,2018.7917808219179,-4.920604995746209e-4,-7.226927438303048,9.005323594601116e-5,8,-6.490696236424476e-4,-3.350513755067943e-4,One Sample t-test,two.sided
16,C,6.1244960953597e-5,4.963171941049157e-4,9,135,2004.8524590163934,2018.7917808219179,6.1244960953597e-5,0.37019648934820415,0.7208451962095066,8,-3.202582063726911e-4,4.427481282798851e-4,One Sample t-test,two.sided
16,E,6.959445495129785e-5,4.8579009994053544e-4,9,135,2004.8524590163934,2018.7917808219179,6.959445495129785e-5,0.4297810204025366,0.6786966691457228,8,-3.038168714834088e-4,4.4300578138600457e-4,One Sample t-test,two.sided
16,G,-2.4617703344257844e-4,4.079717965607645e-4,9,135,2004.8524590163934,2018.7917808219179,-2.4617703344257844e-4,-1.810250381407766,0.1078493092860261,8,-5.597719167478437e-4,6.741784986268677e-5,One Sample t-test,two.sided
17,A,0.007372611946047268,3.8694838625286896e-4,9,108,2005.4109589041095,2018.805479452055,0.007372611946047268,57.159653907143834,9.742662834894583e-12,8,0.007075177086444036,0.0076700468056505,One Sample t-test,two.sided
17,C,0.007659184840487707,4.842521475653502e-4,9,108,2005.4109589041095,2018.805479452055,0.007659184840487707,47.44956658836971,4.303426055709756e-11,8,0.007286955688898641,0.008031413992076773,One Sample t-test,two.sided
17,E,0.0049695255979430135,2.6753820687180967e-4,9,106,2005.4109589041095,2018.805479452055,0.0049695255979430135,55.72503818481692,1.1934170614095896e-11,8,0.004763877527485846,0.005175173668400181,One Sample t-test,two.sided
17,G,0.004268392643126658,4.922589648776196e-4,9,108,2005.4109589041095,2018.805479452055,0.004268392643126658,26.013092382306265,5.120411869573403e-9,8,0.0038900089069269536,0.004646776379326362,One Sample t-test,two.sided
18,A,0.001330605064058423,2.4714143002450216e-4,9,108,2005.4109589041095,2018.805479452055,0.001330605064058423,16.151946647632133,2.1686242746523535e-7,8,0.0011406353441861653,0.0015205747839306806,One Sample t-test,two.sided
18,C,0.001871788640931395,3.0190702549327483e-4,9,107,2005.4109589041095,2018.805479452055,0.001871788640931395,18.599653034305657,7.201604416689388e-8,8,0.0016397223578531678,0.002103854924009622,One Sample t-test,two.sided
18,E,9.279146258479787e-5,2.3654267421443993e-4,9,106,2005.4109589041095,2018.805479452055,9.279146258479787e-5,1.1768463710781876,0.27308283112514625,8,-8.90313323787856e-5,2.7461425754838134e-4,One Sample t-test,two.sided
18,G,-3.093490509754427e-4,2.172914064951487e-4,9,108,2005.4109589041095,2018.805479452055,-3.093490509754427e-4,-4.270979547214851,0.0027205623374430897,8,-4.763740116161569e-4,-1.4232409033472864e-4,One Sample t-test,two.sided
19,A,-0.017486816293254402,4.519521582886089e-4,9,108,2005.4109589041095,2018.805479452055,-0.017486816293254402,-116.07522592305637,3.391358274312625e-14,8,-0.017834217475230396,-0.017139415111278408,One Sample t-test,two.sided
19,C,-0.018074239938318866,6.367763021811243e-4,9,108,2005.4109589041095,2018.805479452055,-0.018074239938318866,-85.15191226374112,4.035884406979588e-13,8,-0.018563709533662095,-0.017584770342975637,One Sample t-test,two.sided
19,E,-0.018911187332305797,6.468515692735876e-4,9,108,2005.4109589041095,2018.805479452055,-0.018911187332305797,-87.70723407323416,3.186468174129789e-13,8,-0.01940840146350853,-0.018413973201103065,One Sample t-test,two.sided
19,G,-0.020038162588931072,6.553942507119616e-4,9,108,2005.4109589041095,2018.805479452055,-0.020038162588931072,-91.72263519475526,2.2280238098567445e-13,8,-0.020541943206374678,-0.019534381971487467,One Sample t-test,two.sided
20,A,-0.004346563168296877,7.914164724203283e-4,9,108,2005.4136986301369,2018.805479452055,-0.004346563168296877,-16.476393857474747,1.857384709579406e-7,8,-0.004954899720986867,-0.0037382266156068865,One Sample t-test,two.sided
20,C,-0.0032788507355910215,9.373679031908129e-4,9,107,2005.4136986301369,2018.805479452055,-0.0032788507355910215,-10.49380096468986,5.91622479273866e-6,8,-0.003999375489246245,-0.002558325981935797,One Sample t-test,two.sided
20,E,-0.0034145486775104036,6.479084707709581e-4,9,108,2005.4136986301369,2018.805479452055,-0.0034145486775104036,-15.810328919364352,2.561087390104865e-7,8,-0.0039125752151209494,-0.002916522139899858,One Sample t-test,two.sided
20,G,-0.0035260814244983682,6.055000546374374e-4,9,108,2005.4136986301369,2018.805479452055,-0.0035260814244983682,-17.47026146814994,1.1758755007493252e-7,8,-0.003991509967785128,-0.0030606528812116085,One Sample t-test,two.sided
21,A,-0.004008934132458505,4.0124906117935196e-4,9,105,2005.4109589041095,2018.805479452055,-0.004008934132458505,-29.97340943808395,1.665203657016709e-9,8,-0.004317361463900629,-0.0037005068010163796,One Sample t-test,two.sided
21,C,-0.004158189521045458,2.1342366555258632e-4,9,107,2005.4109589041095,2018.805479452055,-0.004158189521045458,-58.449790611729114,8.152624873621018e-12,8,-0.0043222414728170235,-0.003994137569273893,One Sample t-test,two.sided
21,E,-0.004131058549808415,1.907951880878075e-4,9,108,2005.4109589041095,2018.805479452055,-0.004131058549808415,-64.95538893633771,3.510223882216231e-12,8,-0.004277716714044261,-0.003984400385572568,One Sample t-test,two.sided
21,G,-0.002930178998431584,4.946790613532484e-4,9,107,2005.4109589041095,2018.805479452055,-0.002930178998431584,-17.77018208785163,1.0293410901899684e-7,8,-0.0033104229854580857,-0.0025499350114050814,One Sample t-test,two.sided
22,B,-0.0011281328257331858,0.0029188993346174804,9,108,2005.5698630136985,2015.8027397260273,-0.0011281328257331858,-1.1594776281118582,0.27969551110809915,8,-0.003371797471024052,0.0011155318195576807,One Sample t-test,two.sided
22,D,0.0018830884121947046,0.0020960284888379512,9,108,2005.5698630136985,2015.8027397260273,0.0018830884121947046,2.6952234984726253,0.02727505244496593,8,2.71938291272686e-4,0.003494238533116723,One Sample t-test,two.sided
22,F,0.002855845434708923,0.001677070081449163,9,108,2005.5698630136985,2015.8027397260273,0.002855845434708923,5.10863344286932,9.199934142780092e-4,8,0.0015667352537592704,0.004144955615658576,One Sample t-test,two.sided
22,H,0.0010489928711992962,0.0014779683101422086,9,107,2005.5698630136985,2015.8027397260273,0.0010489928711992962,2.1292598711369455,0.06586882604374418,8,-8.707414043025286e-5,0.0021850598828288452,One Sample t-test,two.sided
23,A,0.0056158449205925935,0.0019000325867247487,9,95,2005.5698630136985,2015.8027397260273,0.0056158449205925935,8.866971482220386,2.067241382562445e-5,8,0.00415535058658928,0.007076339254595906,One Sample t-test,two.sided
23,C,0.005979279672259762,0.0011893319457761914,9,97,2005.5698630136985,2015.8027397260273,0.005979279672259762,15.08228134330702,3.693397643871589e-7,8,0.005065078210562991,0.006893481133956534,One Sample t-test,two.sided
23,E,0.008342322362632387,0.0014550371309728497,9,99,2005.5698630136985,2015.8027397260273,0.008342322362632387,17.2002257228748,1.3280659319237398e-7,8,0.007223881815666054,0.009460762909598719,One Sample t-test,two.sided
23,G,0.0047696283515976465,7.75833271923412e-4,9,94,2005.5698630136985,2015.8027397260273,0.0047696283515976465,18.443247502545198,7.694259647676674e-8,8,0.004173270107169524,0.005365986596025768,One Sample t-test,two.sided
24,B,0.0013411937466628057,0.0018646253047609538,9,87,2005.868493150685,2015.8027397260273,0.0013411937466628057,2.157849745852421,0.06300011276727352,8,-9.208414113222377e-5,0.0027744716344578354,One Sample t-test,two.sided
24,D,0.004744262121286953,0.0015310199119208626,9,86,2005.868493150685,2015.8027397260273,0.004744262121286953,9.296277764280665,1.4595678771041017e-5,8,0.0035674160386304768,0.005921108203943428,One Sample t-test,two.sided
24,F,0.004777133677079056,0.0011298090890278086,9,84,2005.868493150685,2015.8027397260273,0.004777133677079056,12.684798848245432,1.402992719525356e-6,8,0.00390868553331593,0.005645581820842182,One Sample t-test,two.sided
24,H,0.004098209112888052,0.0020076944319753595,9,88,2005.868493150685,2015.8027397260273,0.004098209112888052,6.123754264022907,2.8200216965812403e-4,8,0.0025549585587675326,0.005641459667008571,One Sample t-test,two.sided
25,A,-0.011961174070027693,0.0015069785150457462,9,90,2005.868493150685,2015.8027397260273,-0.011961174070027693,-23.811568547142684,1.0303999782123964e-8,8,-0.013119540299147468,-0.010802807840907919,One Sample t-test,two.sided
25,C,-0.00841677391085324,0.0011347639269672601,9,81,2005.868493150685,2015.8027397260273,-0.00841677391085324,-22.25160769786105,1.7589934184952532e-8,8,-0.009289030680208915,-0.007544517141497568,One Sample t-test,two.sided
25,E,-0.007425349802514897,9.538126544707009e-4,9,81,2005.868493150685,2015.8027397260273,-0.007425349802514897,-23.35474299185759,1.200742448720702e-8,8,-0.008158515110988062,-0.006692184494041731,One Sample t-test,two.sided
25,G,-0.005982502597730455,2.835007495743302e-4,9,90,2005.868493150685,2015.8027397260273,-0.005982502597730455,-63.30673841299937,4.310232427765439e-12,8,-0.006200420564681084,-0.005764584630779826,One Sample t-test,two.sided
26,B,-0.004158461507855887,0.0016686669413461034,9,90,2006.682191780822,2018.3671232876711,-0.004158461507855887,-7.476257972429084,7.085443868090067e-5,8,-0.005441112463530088,-0.002875810552181686,One Sample t-test,two.sided
26,D,-0.003897987740987824,7.797842471517899e-4,9,90,2006.682191780822,2018.3671232876711,-0.003897987740987824,-14.996408642103756,3.860592358329377e-7,8,-0.004497382973820856,-0.0032985925081547925,One Sample t-test,two.sided
26,F,-0.0037227180066664732,5.402778403817581e-4,9,90,2006.682191780822,2018.3671232876711,-0.0037227180066664732,-20.671131009385928,3.1426682284090144e-8,8,-0.00413801231802631,-0.003307423695306637,One Sample t-test,two.sided
26,H,-0.004295433473632918,3.851171004410298e-4,9,89,2006.682191780822,2018.3671232876711,-0.004295433473632918,-33.46073286837062,6.947077393990563e-10,8,-0.004591460682351203,-0.003999406264914634,One Sample t-test,two.sided
27,B,-0.020544960613708398,3.7624431737669716e-4,9,99,2006.682191780822,2019.7753424657535,-0.020544960613708398,-163.8161136116672,2.157242957298636e-15,8,-0.02083416759761431,-0.020255753629802486,One Sample t-test,two.sided
27,D,-0.024163869608864876,0.001044155495708334,9,88,2006.682191780822,2019.7753424657535,-0.024163869608864876,-69.42606644752446,2.0627409712598733e-12,8,-0.024966478572498067,-0.023361260645231686,One Sample t-test,two.sided
27,F,-0.01821189234272403,7.505592849537688e-4,9,99,2006.682191780822,2019.7753424657535,-0.01821189234272403,-72.79328645109949,1.4129562305694694e-12,8,-0.01878882328099712,-0.017634961404450943,One Sample t-test,two.sided
27,H,-0.014036519651684674,0.001275241916867851,9,99,2006.682191780822,2019.7753424657535,-0.014036519651684674,-33.020839730927456,7.717618633899255e-10,8,-0.015016757362912327,-0.013056281940457024,One Sample t-test,two.sided
28,B,-0.003864617339011582,7.939122007103169e-4,9,81,2006.7589041095891,2018.3671232876711,-0.003864617339011582,-14.603443562980484,4.742218978542442e-7,8,-0.004474872278287259,-0.0032543623997359056,One Sample t-test,two.sided
28,D,-0.00833292201555744,7.365755498212613e-4,9,80,2006.7589041095891,2018.3671232876711,-0.00833292201555744,-33.93917440341126,6.205633648417154e-10,8,-0.008899104103483478,-0.007766739927631403,One Sample t-test,two.sided
28,F,-0.008981172381492507,0.0011875352750263964,9,80,2006.7589041095891,2018.3671232876711,-0.008981172381492507,-22.688603623903827,1.508836431014156e-8,8,-0.009893992799796403,-0.008068351963188612,One Sample t-test,two.sided
28,H,-0.0051495573782377475,0.0020294757175253744,9,81,2006.7589041095891,2018.3671232876711,-0.0051495573782377475,-7.612149286294719,6.233625240833799e-5,8,-0.006709550510541067,-0.0035895642459344286,One Sample t-test,two.sided
29,A,7.812320140695662e-4,0.002328863561875492,9,53,2007.441095890411,2015.1616438356164,7.812320140695662e-4,1.0063689778036038,0.34370348006683227,8,-0.0010088909872674964,0.002571355015406629,One Sample t-test,two.sided
29,C,-7.62558284742222e-5,0.0014175428001261523,9,51,2007.441095890411,2015.1616438356164,-7.62558284742222e-5,-0.1613831239538642,0.87579285727096845,8,-0.0011658756814474892,0.0010133640244990446,One Sample t-test,two.sided
29,E,4.2432558598038745e-4,7.218573341216352e-4,9,54,2007.441095890411,2015.1616438356164,4.2432558598038745e-4,1.763474162786108,0.11583225951421228,8,-1.3054307985692796e-4,9.79194251817703e-4,One Sample t-test,two.sided
29,G,-0.0018665634251760462,7.651904108351412e-4,9,53,2007.441095890411,2015.1616438356164,-0.0018665634251760462,-7.318035088046315,8.243896176089836e-5,8,-0.0024547408423775162,-0.0012783860079745761,One Sample t-test,two.sided
30,B,0.002522617185776168,8.201010199554727e-4,9,54,2007.441095890411,2015.1616438356164,0.002522617185776168,9.227950427057632,1.541289902708823e-5,8,0.0018922317380086764,0.003153002633543659,One Sample t-test,two.sided
30,D,0.0026312088284353194,5.047482397230542e-4,9,54,2007.441095890411,2015.1616438356164,0.0026312088284353194,15.638739997661094,2.787838096024702e-7,8,0.0022432249857558574,0.0030191926711147818,One Sample t-test,two.sided
30,F,0.004052352851169608,7.684524510988571e-4,9,54,2007.441095890411,2015.1616438356164,0.004052352851169608,15.820183195622192,2.5487074574067595e-7,8,0.003461668007855694,0.004643037694483522,One Sample t-test,two.sided
30,H,0.004027256993855136,0.001472312571976467,9,54,2007.441095890411,2015.1616438356164,0.004027256993855136,8.205982351523735,3.6349089042660405e-5,8,0.0028955373674248645,0.005158976620285407,One Sample t-test,two.sided
